file,inst number,r,inst type,problemtype,model,algorithm,z,best lp,root bound,opened facilities,lazy cuts conenctivity,lazy cuts cost,user cuts cost,node count,time,status,z*,gap z*,gap z lp,id code
data/811Eucl.txt,811,1500, eucl , MPIF ,MW,nobenders,102212,101584.3636,0,0,0,0,0,560,3600.394989,107,102212,0,0.006140535,811-1500
data/811Eucl.txt,811,500, eucl ,MPIF,MW,nobenders,300847,300847,0,0,0,0,0,0,7.440741,101,300847,0,0,811-500
data/911Eucl.txt,911,2500, eucl ,MPIF,MW,nobenders,98536,98536,0,0,0,0,0,0,212.047383,101,98536,0,0,911-2500
data/911Eucl.txt,911,1500, eucl , MPIF ,MW,nobenders,103721,100936.5313,0,0,0,0,0,354,3600.023117,107,103560,0.001554654,0.026845757,911-1500
data/911Eucl.txt,911,500, eucl ,MPIF,MW,nobenders,346100,346100,0,0,0,0,0,0,41.468513,101,346100,0,0,911-500
data/1011Eucl.txt,1011,2500, eucl ,MPIF,MW,nobenders,93406,93406,0,0,0,0,0,0,144.134584,101,93406,0,0,1011-2500
data/1011Eucl.txt,1011,1500, eucl , MPIF ,MW,nobenders,97223,94923.49587,0,0,0,0,0,77,3600.004449,107,96916,0.003167692,0.023651853,1011-1500
data/1011Eucl.txt,1011,500, eucl ,MPIF,MW,nobenders,407994,407994,0,0,0,0,0,0,54.006346,101,407994,0,0,1011-500
data/1111Eucl.txt,1111,2500, eucl ,MPIF,MW,nobenders,96176,96176,0,0,0,0,0,0,291.309207,101,96176,0,0,1111-2500
data/1111Eucl.txt,1111,1500, eucl , MPIF ,MW,nobenders,100290,99803.33333,0,0,0,0,0,990,3599.870248,107,100290,0,0.004852594,1111-1500
data/1111Eucl.txt,1111,500, eucl ,MPIF,MW,nobenders,310036,310036,0,0,0,0,0,0,9.412676,101,310036,0,0,1111-500
data/1211Eucl.txt,1211,2500, eucl ,MPIF,MW,nobenders,96262,96262,0,0,0,0,0,0,179.928294,101,96262,0,0,1211-2500
data/1211Eucl.txt,1211,1500, eucl , MPIF ,MW,nobenders,101254,97882.58333,0,0,0,0,0,215,3600.034945,107,100607,0.006430964,0.033296627,1211-1500
data/1211Eucl.txt,1211,500, eucl ,MPIF,MW,nobenders,295586,295586,0,0,0,0,0,0,63.026619,101,295586,0,0,1211-500
data/1311Eucl.txt,1311,2500, eucl , MPIF ,MW,nobenders,97352,97352,0,0,0,0,0,0,10.925644,101,97249,0.001059137,0,1311-2500
data/1311Eucl.txt,1311,1500, eucl , MPIF ,MW,nobenders,100657,99663.19657,0,0,0,0,0,158,3600.061174,107,100657,0,0.009873168,1311-1500
data/1311Eucl.txt,1311,500, eucl ,MPIF,MW,nobenders,329996,329996,0,0,0,0,0,0,30.448307,101,329996,0,0,1311-500
data/1411Eucl.txt,1411,2500, eucl ,MPIF,MW,nobenders,93734,93734,0,0,0,0,0,0,154.479706,101,93734,0,0,1411-2500
data/1411Eucl.txt,1411,1500, eucl , MPIF ,MW,nobenders,98112,98105.80693,0,0,0,0,0,431,3433.562531,102,98112,0,6.31225E-05,1411-1500
data/1411Eucl.txt,1411,500, eucl ,MPIF,MW,nobenders,371692,371692,0,0,0,0,0,0,33.462332,101,371692,0,0,1411-500
data/1511Eucl.txt,1511,2500, eucl ,MPIF,MW,nobenders,97705,97705,0,0,0,0,0,0,517.5673,101,97705,0,0,1511-2500
data/1511Eucl.txt,1511,1500, eucl , MPIF ,MW,nobenders,101238,98640.27306,0,0,0,0,0,259,3600.050633,107,101022,0.002138148,0.025659603,1511-1500
data/1511Eucl.txt,1511,500, eucl ,MPIF,MW,nobenders,431443,431443,0,0,0,0,0,0,9.493529,101,431443,0,0,1511-500
data/1611Eucl.txt,1611,2500, eucl ,MPIF,MW,nobenders,96218,96218,0,0,0,0,0,0,246.94377,101,96218,0,0,1611-2500
data/1611Eucl.txt,1611,1500, eucl , MPIF ,MW,nobenders,103309,98435.40849,0,0,0,0,0,154,3600.078303,107,102405,0.008827694,0.047174898,1611-1500
data/1611Eucl.txt,1611,500, eucl ,MPIF,MW,nobenders,308214,308214,0,0,0,0,0,0,8.801024,101,308214,0,0,1611-500
data/1711Eucl.txt,1711,2500, eucl , MPIF ,MW,nobenders,94985,94985,0,0,0,0,0,0,13.022285,101,94985,0,0,1711-2500
data/1711Eucl.txt,1711,1500, eucl , MPIF ,MW,nobenders,102476,97602.37689,0,0,0,0,0,6,3600.493898,107,102476,0,0.047558678,1711-1500
data/1711Eucl.txt,1711,500, eucl ,MPIF,MW,nobenders,431999,431999,0,0,0,0,0,0,50.958316,101,431999,0,0,1711-500
data/1811Eucl.txt,1811,2500, eucl ,MPIF,MW,nobenders,97949,97949,0,0,0,0,0,0,143.921043,101,97949,0,0,1811-2500
data/1811Eucl.txt,1811,1500, eucl , MPIF ,MW,nobenders,102652,101105.2877,0,0,0,0,0,144,3599.998619,107,102572,0.00077994,0.015067532,1811-1500
data/1811Eucl.txt,1811,500, eucl ,MPIF,MW,nobenders,330298,330298,0,0,0,0,0,0,27.352535,101,330298,0,0,1811-500
data/1911Eucl.txt,1911,2500, eucl ,MPIF,MW,nobenders,96625,96625,0,0,0,0,0,0,255.341842,101,96625,0,0,1911-2500
data/1911Eucl.txt,1911,1500, eucl , MPIF ,MW,nobenders,102536,98402.58522,0,0,0,0,0,139,3600.033482,107,101836,0.006873797,0.04031184,1911-1500
data/1911Eucl.txt,1911,500, eucl ,MPIF,MW,nobenders,344443,344443,0,0,0,0,0,0,50.147325,101,344443,0,0,1911-500
data/2011Eucl.txt,2011,2500, eucl ,MPIF,MW,nobenders,94449,94449,0,0,0,0,0,0,402.541491,101,94449,0,0,2011-2500
data/2011Eucl.txt,2011,1500, eucl , MPIF ,MW,nobenders,102677,96568.88407,0,0,0,0,0,69,3599.991045,107,100263,0.024076678,0.059488648,2011-1500
data/2011Eucl.txt,2011,500, eucl ,MPIF,MW,nobenders,410630,410630,0,0,0,0,0,0,47.343082,101,410630,0,0,2011-500
data/2111Eucl.txt,2111,2500, eucl ,MPIF,MW,nobenders,92483,92483,0,0,0,0,0,0,105.694986,101,92483,0,0,2111-2500
data/2111Eucl.txt,2111,1500, eucl , MPIF ,MW,nobenders,96538,95413.15,0,0,0,0,0,369,3600.019291,107,96538,0,0.011651888,2111-1500
data/2111Eucl.txt,2111,500, eucl ,MPIF,MW,nobenders,246917,246917,0,0,0,0,0,3,64.304134,101,246917,0,0,2111-500
data/2211Eucl.txt,2211,2500, eucl ,MPIF,MW,nobenders,95594,95594,0,0,0,0,0,0,191.016481,101,95594,0,0,2211-2500
data/2211Eucl.txt,2211,1500, eucl , MPIF ,MW,nobenders,104005,98549.47196,0,0,0,0,0,180,3600.391056,107,103006,0.009698464,0.052454479,2211-1500
data/2211Eucl.txt,2211,500, eucl ,MPIF,MW,nobenders,415291,415291,0,0,0,0,0,0,39.275344,101,415291,0,0,2211-500
data/2311Eucl.txt,2311,2500, eucl ,MPIF,MW,nobenders,95143,95143,0,0,0,0,0,0,100.996712,101,95143,0,0,2311-2500
data/2311Eucl.txt,2311,1500, eucl , MPIF ,MW,nobenders,101845,97869.41028,0,0,0,0,0,200,3600.028348,107,101671,0.001711402,0.039035689,2311-1500
data/2311Eucl.txt,2311,500, eucl ,MPIF,MW,nobenders,267682,267682,0,0,0,0,0,0,17.884467,101,267682,0,0,2311-500
data/2411Eucl.txt,2411,2500, eucl ,MPIF,MW,nobenders,94064,94064,0,0,0,0,0,0,274.173386,101,94064,0,0,2411-2500
data/2411Eucl.txt,2411,1500, eucl , MPIF ,MW,nobenders,101195,96013.88434,0,0,0,0,0,194,3600.049287,107,99372,0.018345208,0.051199325,2411-1500
data/2411Eucl.txt,2411,500, eucl ,MPIF,MW,nobenders,376439,376439,0,0,0,0,0,0,41.73432,101,376439,0,0,2411-500
data/2511Eucl.txt,2511,2500, eucl ,MPIF,MW,nobenders,97569,97569,0,0,0,0,0,0,197.147703,101,97569,0,0,2511-2500
data/2511Eucl.txt,2511,1500, eucl , MPIF ,MW,nobenders,101900,99331.61135,0,0,0,0,0,369,3600.057068,107,101429,0.004643642,0.025204992,2511-1500
data/2511Eucl.txt,2511,500, eucl ,MPIF,MW,nobenders,435475,435475,0,0,0,0,0,0,9.599782,101,435475,0,0,2511-500
data/2611Eucl.txt,2611,2500, eucl ,MPIF,MW,nobenders,94352,94352,0,0,0,0,0,0,491.571934,101,94352,0,0,2611-2500
data/2611Eucl.txt,2611,1500, eucl , MPIF ,MW,nobenders,99709,97061.97191,0,0,0,0,0,223,3600.027345,107,99709,0,0.026547534,2611-1500
data/2611Eucl.txt,2611,500, eucl ,MPIF,MW,nobenders,263326,263326,0,0,0,0,0,0,20.659051,101,263326,0,0,2611-500
data/2711Eucl.txt,2711,2500, eucl ,MPIF,MW,nobenders,91554,91554,0,0,0,0,0,0,558.220425,101,91554,0,0,2711-2500
data/2711Eucl.txt,2711,1500, eucl , MPIF ,MW,nobenders,95433,94048.39399,0,0,0,0,0,128,3600.030742,107,94467,0.010225793,0.014508671,2711-1500
data/2711Eucl.txt,2711,500, eucl ,MPIF,MW,nobenders,316372,316372,0,0,0,0,0,3,89.383914,101,316372,0,0,2711-500
data/2811Eucl.txt,2811,2500, eucl ,MPIF,MW,nobenders,97935,97935,0,0,0,0,0,0,80.184157,101,97935,0,0,2811-2500
data/2811Eucl.txt,2811,1500, eucl , MPIF ,MW,nobenders,105432,99198.17774,0,0,0,0,0,51,3600.022871,107,102398,0.029629485,0.059126473,2811-1500
data/2811Eucl.txt,2811,500, eucl ,MPIF,MW,nobenders,265678,265678,0,0,0,0,0,0,20.701888,101,265678,0,0,2811-500
data/2911Eucl.txt,2911,2500, eucl ,MPIF,MW,nobenders,95699,95699,0,0,0,0,0,0,474.442198,101,95699,0,0,2911-2500
data/2911Eucl.txt,2911,1500, eucl , MPIF ,MW,nobenders,101905,98905.7081,0,0,0,0,0,149,3600.0557,107,101814,0.000893787,0.029432235,2911-1500
data/2911Eucl.txt,2911,500, eucl ,MPIF,MW,nobenders,353600,353600,0,0,0,0,0,0,41.684142,101,353600,0,0,2911-500
datap/pmed1.txt,1,150,pmed,MPIF,SW,nobenders,5915,5915,0,0,0,0,0,0,0.111572,101,5915,0,0,1-150
datap/pmed1.txt,1,100,pmed,MPIF,SW,nobenders,5976,5975.719702,0,0,0,0,0,0,0.550852,102,5976,0,4.69039E-05,1-100
