file,na,r,mpif,model,na,sol,z,bestlp,root,cuts,cuts,cuts,cuts,nodecount,time,status,gap,n_clients
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat, NA ,5.5, MPIF ,NV, nobenders ,3970918.151,3970918.151,3970918.151,3965472.151,100,36,65661,0,1,61.233,lpstatus: 101,0,50000
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat, NA ,3.4, MPIF ,NV, nobenders ,4063222.872,4063222.872,4063222.872,2581200.282,19,14,207905,0,0,76.014,lpstatus: 101,0,10000
GRID_PSCLP_n100_m10000_d1_100_f10_100_s5.dat, NA ,5.5, MPIF ,NW, nobenders ,891619.1308,891619.1308,891619.1308,-9.25596E+61,97,0,0,0,0,82.495,lpstatus: 101,0,10000
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat, NA ,5.5, MPIF ,NW, nobenders ,805234.2126,805234.2126,805234.2126,-9.25596E+61,100,0,0,0,0,84.955,lpstatus: 101,0,10000
GRID_PSCLP_n100_m100000_d1_100_f10_100_s5.dat, NA ,5.5, MPIF ,NV, nobenders ,8937077.199,8937077.199,8937077.199,8111546.433,97,27,104778,0,1,88.439,lpstatus: 101,0,100000
GRID_PSCLP_n100_m5000_d1_100_f10_100_s1.dat, NA ,3.4, MPIF ,SW, nobenders ,2008692.847,2008692.847,2008692.847,-9.25596E+61,0,0,0,0,0,94.343,lpstatus: 101,0,5000
GRID_PSCLP_n100_m5000_d1_100_f10_100_s5.dat, NA ,5.5, MPIF ,MW, nobenders ,442094.856,442094.856,442094.856,-9.25596E+61,0,0,0,0,0,95.684,lpstatus: 101,0,5000
GRID_PSCLP_n100_m10000_d1_100_f10_100_s5.dat, NA ,3.4, MPIF ,NV, nobenders ,7716118.15,7716118.15,7716118.15,799438.0108,8,6,495893,0,0,95.806,lpstatus: 101,0,10000
GRID_PSCLP_n100_m5000_d1_100_f10_100_s1.dat, NA ,5.5, MPIF ,MW, nobenders ,407752.5278,407752.5278,407752.5278,-9.25596E+61,0,0,0,0,0,98.375,lpstatus: 101,0,5000
GRID_PSCLP_n100_m5000_d1_100_f10_100_s5.dat, NA ,3.4, MPIF ,SW, nobenders ,3832361.881,3832361.881,3832361.881,-9.25596E+61,0,0,0,0,0,112.506,lpstatus: 101,0,5000
GRID_PSCLP_n100_m10000_d1_100_f10_100_s5.dat, NA ,5.5, MPIF ,MW, nobenders ,891619.1308,891619.1308,891619.1308,-9.25596E+61,0,0,0,0,0,147.666,lpstatus: 101,0,10000
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat, NA ,5.5, MPIF ,MW, nobenders ,805234.2126,805234.2126,805234.2126,-9.25596E+61,0,0,0,0,0,152.984,lpstatus: 101,0,10000
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat, NA ,3.4, MPIF ,SW, nobenders ,4063222.872,4063222.872,4063222.872,-9.25596E+61,0,0,0,0,0,335.267,lpstatus: 101,0,10000
GRID_PSCLP_n100_m10000_d1_100_f10_100_s5.dat, NA ,3.4, MPIF ,SW, nobenders ,7716118.15,7716118.15,7716118.15,-9.25596E+61,0,0,0,0,0,394.652,lpstatus: 101,0,10000
GRID_PSCLP_n100_m5000_d1_100_f10_100_s1.dat, NA ,3.4, MPIF ,MW, nobenders ,2008692.847,2008692.847,2008692.847,-9.25596E+61,0,0,0,0,0,397.18,lpstatus: 101,0,5000
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat, NA ,3.4, MPIF ,NV, nobenders ,20373346.09,20373346.09,20373346.09,3965491.151,19,3,942361,0,1,410.467,lpstatus: 101,0,50000
GRID_PSCLP_n100_m50000_d1_100_f10_100_s5.dat,NA,3.4,MPIF,NV,nobenders,38916346.98,38916346.98,38916346.98,-9.25596E+61,8,11,2497987,0,0,661.763,lpstatus: 101,0,50000
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat, NA ,3.4, MPIF ,SW, nobenders ,-9.25596E+61,-9.25596E+61,0,-9.25596E+61,0,0,0,0,0,671.682,lpstatus: 108,1,50000
GRID_PSCLP_n100_m50000_d1_100_f10_100_s5.dat, NA ,5.5, MPIF ,MW, nobenders ,4462776.955,4462776.955,4462776.955,-9.25596E+61,0,0,0,0,0,743.61,lpstatus: 101,0,50000
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat, NA ,5.5, MPIF ,MW, nobenders ,3970918.151,3970918.151,3970918.151,-9.25596E+61,0,0,0,0,0,764.123,lpstatus: 101,0,50000
GRID_PSCLP_n100_m100000_d1_100_f10_100_s1.dat,NA,3.4,MPIF,NV,nobenders,40748329.88,40748329.88,40748329.88,13482441.61,19,13,1814825,0,1,829.621,lpstatus: 101,0,100000
GRID_PSCLP_n100_m5000_d1_100_f10_100_s5.dat,NA,3.4,MPIF,MW,nobenders,3832361.881,3832361.881,3832361.881,-9.25596E+61,0,0,0,0,0,1363.828,lpstatus: 101,0,5000
GRID_PSCLP_n100_m100000_d1_100_f10_100_s5.dat, NA ,5.5, MPIF ,MW, nobenders ,8937077.199,8937077.199,8937077.199,-9.25596E+61,0,0,0,0,0,1652.086,lpstatus: 101,0,100000
GRID_PSCLP_n100_m100000_d1_100_f10_100_s1.dat, NA ,5.5, MPIF ,MW, nobenders ,7933101.456,7933101.456,7933101.456,-9.25596E+61,0,0,0,0,0,1685.928,lpstatus: 101,0,100000
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat,NA,3.4,MPIF,MW,nobenders,4063222.872,4063222.872,4063222.872,-9.25596E+61,0,0,0,0,0,1894.156,lpstatus: 101,0,10000
GRID_PSCLP_n100_m100000_d1_100_f10_100_s5.dat,NA,3.4,MPIF,NV,nobenders,78206284.64,78206284.64,78206284.64,20003145.18,8,12,5011191,0,1,1966.181,lpstatus: 101,0,100000
GRID_PSCLP_n100_m10000_d1_100_f10_100_s5.dat,NA,3.4,MPIF,MW,nobenders,-9.25596E+61,-9.25596E+61,0,-9.25596E+61,0,0,0,0,0,3600.91,lpstatus: 108,1,10000
GRID_PSCLP_n100_m50000_d1_100_f10_100_s5.dat,NA,3.4,MPIF,SW,nobenders,-9.25596E+61,-9.25596E+61,0,-9.25596E+61,0,0,0,0,0,3601.161,lpstatus: 108,1,50000
GRID_PSCLP_n100_m100000_d1_100_f10_100_s5.dat,NA,3.4,MPIF,SW,nobenders,-9.25596E+61,-9.25596E+61,0,-9.25596E+61,0,0,0,0,0,3601.987,lpstatus: 108,1,100000
GRID_PSCLP_n100_m100000_d1_100_f10_100_s1.dat,NA,3.4,MPIF,SW,nobenders,-9.25596E+61,-9.25596E+61,0,-9.25596E+61,0,0,0,0,0,3602.31,lpstatus: 108,1,100000
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat,NA,3.4,MPIF,MW,nobenders,-9.25596E+61,-9.25596E+61,0,-9.25596E+61,0,0,0,0,0,3602.508,lpstatus: 108,1,50000
GRID_PSCLP_n100_m50000_d1_100_f10_100_s5.dat,NA,3.4,MPIF,MW,nobenders,-9.25596E+61,-9.25596E+61,0,-9.25596E+61,0,0,0,0,0,3604.826,lpstatus: 108,1,50000
