file;na;r;R;mpif;model;na;sol;z;bestlp;root;cuts;cuts;cuts;cuts;nodecount;time;status;gap
n100_m50000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;NT; nobenders ;1786276;1786276;1786276;0;19;5;2;0;0;0.020318;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;NT; nobenders ;2231812;2231812;2231812;0;8;5;1;0;0;0.013494;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;NT; nobenders ;3575217;3575217;3575217;0;19;5;2;0;0;0.038694;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;NT; nobenders ;4473082;4473082;4473082;0;8;5;1;0;0;0.025308;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;8665;8665;6303.57614;0;0;0;0;0;208700;3599.854812;lpstatus: 107;0.272524392
n100_m1000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;12863;12863;9176.844734;0;0;0;0;0;274349;3599.851057;lpstatus: 107;0.286570416
n100_m5000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;60486;60486;32544.42796;0;0;0;0;0;231135;3599.83304;lpstatus: 107;0.461951064
n100_m5000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;62889;62889;38918.32067;0;0;0;0;0;137062;3599.847074;lpstatus: 107;0.381158539
n100_m10000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;122227;122227;61237.45584;0;0;0;0;0;112403;3599.786737;lpstatus: 107;0.498985856
n100_m10000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;126665;126665;74031.48639;0;0;0;0;0;143795;3599.806035;lpstatus: 107;0.415533207
n100_m50000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;2183420;2183420;273045.1895;0;0;0;0;0;1284;3599.831739;lpstatus: 107;0.874946099
n100_m50000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;2260723;2260723;333415.0414;0;0;0;0;0;1048;3599.81119;lpstatus: 107;0.852518402
n100_m100000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;4557253;4557253;569737.8472;0;0;0;0;0;493;3599.7955;lpstatus: 107;0.874982177
n100_m100000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;4156505;4156505;668137.2542;0;0;0;0;0;225;3599.752796;lpstatus: 107;0.839255034
n100_m1000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;MZ; nobenders ;9900;9900;5204.229167;0;0;0;0;0;3571;3599.812733;lpstatus: 107;0.474320286
n100_m1000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;MZ; nobenders ;13460;13460;8540.00169;0;0;0;0;0;2100;3599.864645;lpstatus: 107;0.365527363
